,dataset,epsilon,feature,resolution,mean MSE ALE generic,std ALE generic,mean MSE ALE specific,std ALE specific,splits
25,Adult Income,5.0,capital-gain,10,0.08502080127746611,0.006203599158448564,0.09345489710845926,0.029910179951878738,
26,Adult Income,5.0,age,20,0.00268377391365742,0.0010797826517240853,9.70351209007117e-05,1.4351005908013579e-05,
27,Adult Income,5.0,capital-gain,20,0.03898126313665189,0.0058001759210553625,0.07831700706201246,0.0307291109129595,
28,Adult Income,5.0,age,50,0.01717008448378397,0.006309133192208081,0.00098964437795501,0.0007563292313173764,
29,Adult Income,5.0,capital-gain,50,0.025535448799352017,0.007627536497179867,0.00390573793543481,0.0017541661966546304,
30,Adult Income,5.0,age,100,0.07387788860760078,0.020450846335938716,0.0007015325336611021,0.0004086188750964673,
31,Adult Income,5.0,capital-gain,100,0.07941467941853074,0.022891554564147966,0.01176888945218899,0.01436364187481426,
32,Adult Income,10.0,age,10,0.00032804700788835,0.00010342849386413013,0.00019520713488775,4.395451048842249e-06,
33,Adult Income,10.0,capital-gain,10,0.08262775865265329,0.003070524308250885,0.11723137731243734,0.0332956739740716,
34,Adult Income,10.0,age,20,0.0009711555426342802,0.000489624793108173,0.00011948838603168237,3.213632152421719e-05,
35,Adult Income,10.0,capital-gain,20,0.03793564859927819,0.0025082479354962967,0.06065678871828769,0.01724865181067258,
36,Adult Income,10.0,age,50,0.0051629034865244595,0.002114730530056788,0.00040764283628422996,0.00028214862992823536,
37,Adult Income,10.0,capital-gain,50,0.012598943730712972,0.004498933174841407,0.00416588250223216,0.0009374486341192526,
38,Adult Income,10.0,age,100,0.02093730484685876,0.0037466878569962043,0.0009857505766028044,0.0013292401096403554,
39,Adult Income,10.0,capital-gain,100,0.023549724517984892,0.001955605443725149,0.0053491933078242074,0.007874034658402883,
40,Bike Sharing,0.5,hr,10,52753.39541169595,27320.7759551959,1748.3845578143823,342.045485999931,
41,Bike Sharing,0.5,hr,20,259809.9781651048,200251.13351395162,4184.286959053643,2528.8330305931963,
42,Bike Sharing,0.5,hr,50,1785099.406357284,637925.2871787571,17226.792179631524,14219.100769467035,
43,Bike Sharing,0.5,hr,100,6683326.633431334,1836088.0152637863,119519.80076667675,66222.29766407411,
44,Bike Sharing,1.0,hr,10,13277.471016198248,6336.95395095593,680.0716332813263,200.65764602142966,
45,Bike Sharing,1.0,hr,20,59431.80504635318,25803.936241660394,757.3516694925021,316.3377643081506,
46,Bike Sharing,1.0,hr,50,425513.1842844123,125139.07920993495,3982.2756350145705,3440.3570357166104,
47,Bike Sharing,1.0,hr,100,1648060.8285201697,316966.0939655879,40870.10547107216,46020.256119990445,
48,Bike Sharing,2.0,hr,10,6423.01438916084,3041.2930506555977,501.8262689202543,78.7701330734819,
49,Bike Sharing,2.0,hr,20,17172.567836464692,7931.696514335663,280.1369892578347,140.54048209655875,
50,Bike Sharing,2.0,hr,50,119168.80265539384,47103.212996000584,1354.3037926003497,1547.2544969703451,
51,Bike Sharing,2.0,hr,100,425264.7370833013,69189.73811527365,4924.736659939474,4813.7798804944005,
52,Bike Sharing,5.0,hr,10,1773.870790178545,788.3254781966584,224.1143129377786,19.503617153968072,
53,Bike Sharing,5.0,hr,20,3147.2373400782462,1329.6983818511371,200.6409134257322,47.277350629219725,
54,Bike Sharing,5.0,hr,50,16859.671609865836,5268.146281843944,217.5216249180619,177.73017951847334,
55,Bike Sharing,5.0,hr,100,54385.484301820536,11354.852272463047,1294.905067360999,1386.4309819678392,
56,Bike Sharing,10.0,hr,10,1367.231444658957,313.5978820957258,224.15798797885518,11.88715551901735,
57,Bike Sharing,10.0,hr,20,948.834719456434,260.62518316894256,274.0059672980362,55.75132210666989,
58,Bike Sharing,10.0,hr,50,4489.563734622091,1369.796059450236,159.35243671274245,89.88939289483295,
59,Bike Sharing,10.0,hr,100,15438.076093212934,3951.5269786043377,369.8029694965837,267.64984267073385,
60,Heart Disease,0.5,age,10,0.06083832968458168,0.054591448973503286,0.00328106545393391,0.0026750262803136612,
61,Heart Disease,0.5,age,20,0.29695420665776207,0.13749256825040918,0.01184978817495842,0.008470452694240406,
62,Heart Disease,0.5,age,50,1.7475475119152097,0.5671388451112622,0.3954499721803606,0.25888688400290516,
63,Heart Disease,0.5,age,100,6.59920778402032,1.4827961106385519,1.793516661525156,1.7633512548522605,
64,Heart Disease,1.0,age,10,0.01381607717975831,0.006609370294717836,0.00050871734140521,0.0003829074179741773,
65,Heart Disease,1.0,age,20,0.05369535622223248,0.02030833946139835,0.0028367104332268694,0.0012091847367969384,
66,Heart Disease,1.0,age,50,0.3988898400012765,0.05894575309545177,0.05653073318343806,0.057028155416282554,
67,Heart Disease,1.0,age,100,1.4320976448083256,0.26100521132209015,0.5738989833639578,0.9046426070662081,
68,Heart Disease,2.0,age,10,0.00723452229730015,0.006762094444097828,0.00023976134033022002,5.8999622636922335e-05,
69,Heart Disease,2.0,age,20,0.018197429063217647,0.008122169414322774,0.0007702802091083801,0.0007366861304085417,
70,Heart Disease,2.0,age,50,0.11501870007608983,0.04836271652933593,0.01689029649933011,0.007413500107262303,
71,Heart Disease,2.0,age,100,0.43486175165176794,0.11646335693250279,0.11116586785610409,0.07316617726362377,
72,Heart Disease,5.0,age,10,0.00156681366722418,0.0008822271909928324,0.00014386715822856003,4.0831361073038394e-05,
73,Heart Disease,5.0,age,20,0.00335164604083195,0.0018134928162950156,0.0003019948090100245,0.00027456571360818095,
74,Heart Disease,5.0,age,50,0.01668441520916053,0.005686083774059975,0.0032509667066626504,0.003677289372418013,
75,Heart Disease,5.0,age,100,0.07145865205098263,0.01741595136249866,0.02391803580550807,0.01601179331731417,
76,Heart Disease,10.0,age,10,0.00059008959487079,0.00011291919813523673,0.00012660512090229042,1.7942647197613697e-05,
77,Heart Disease,10.0,age,20,0.00101101281799647,0.0003909366029389347,8.680644448928496e-05,4.420739463462903e-05,
78,Heart Disease,10.0,age,50,0.004489247106156681,0.0015175078460266797,0.0007049481730768499,0.00046490785494095963,
79,Heart Disease,10.0,age,100,0.01895819855738214,0.0030144709124330605,0.00429652832540955,0.0036222631756251543,
