dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,1.0,age,0,6,20,0.015806504524360474,29869
Adult Income,1.0,age,0,6,50,0.08352056321981151,90207
Adult Income,1.0,age,0,6,100,0.41374268515412416,67199
Adult Income,1.0,capital-gain,9,6,10,0.005888170150988465,89039
Adult Income,1.0,capital-gain,9,6,20,0.013560186701945759,19951
Adult Income,1.0,capital-gain,9,6,50,0.06015528635315838,75824
Adult Income,1.0,capital-gain,9,6,100,0.46794523172284824,94211
Adult Income,1.0,age,0,7,10,0.0018339004729961954,4859
Adult Income,1.0,age,0,7,20,0.005950810592367372,36511
Adult Income,1.0,age,0,7,50,0.14972581176573915,63651
Adult Income,1.0,age,0,7,100,0.35208934390112306,10549
Adult Income,1.0,capital-gain,9,7,10,0.005567539351354231,51006
Adult Income,1.0,capital-gain,9,7,20,0.0037137271648549266,62910
Adult Income,1.0,capital-gain,9,7,50,0.16392113011129603,76398
Adult Income,1.0,capital-gain,9,7,100,0.26731182585125224,92715
Adult Income,1.0,age,0,8,10,0.005605769886174068,40982
Adult Income,1.0,age,0,8,20,0.0366021166506607,44037
Adult Income,1.0,age,0,8,50,0.11297050309092635,47421
Adult Income,1.0,age,0,8,100,0.3703500634154788,95459
Adult Income,1.0,capital-gain,9,8,10,0.007663177797531422,19575
Adult Income,1.0,capital-gain,9,8,20,0.02664372723685266,49989
Adult Income,1.0,capital-gain,9,8,50,0.08739100756385454,4983
Adult Income,1.0,capital-gain,9,8,100,0.36763226858540643,42522
Adult Income,1.0,age,0,9,10,0.0016961867222916387,94531
Adult Income,1.0,age,0,9,20,0.018038654685880378,62021
Adult Income,1.0,age,0,9,50,0.07621849186059496,34961
Adult Income,1.0,age,0,9,100,0.3715933426369481,99509
Adult Income,1.0,capital-gain,9,9,10,0.007080825355384564,60375
Adult Income,1.0,capital-gain,9,9,20,0.03242329787370053,94894
Adult Income,1.0,capital-gain,9,9,50,0.1725851594923002,1633
Adult Income,1.0,capital-gain,9,9,100,0.35356212566808143,46004
Adult Income,2.0,age,0,0,10,0.0012334757939808675,83495
Adult Income,2.0,age,0,0,20,0.0011066125835334794,75772
Adult Income,2.0,age,0,0,50,0.015307562288915293,40749
Adult Income,2.0,age,0,0,100,0.08160503360936358,49742
Adult Income,2.0,capital-gain,9,0,10,0.0025231333030286732,42024
Adult Income,2.0,capital-gain,9,0,20,0.007007930377035018,52931
Adult Income,2.0,capital-gain,9,0,50,0.022849047716599007,23024
Adult Income,2.0,capital-gain,9,0,100,0.13411748763352377,78578
Adult Income,2.0,age,0,1,10,0.0004062155742822764,7770
Adult Income,2.0,age,0,1,20,0.0035806410979290926,41465
Adult Income,2.0,age,0,1,50,0.044314973542416834,28186
Adult Income,2.0,age,0,1,100,0.09599965958682842,73448
Adult Income,2.0,capital-gain,9,1,10,0.003924042824436675,74929
Adult Income,2.0,capital-gain,9,1,20,0.004058339355765429,71114
Adult Income,2.0,capital-gain,9,1,50,0.02533143423206977,92446
Adult Income,2.0,capital-gain,9,1,100,0.10583647815905778,93205
Adult Income,2.0,age,0,2,10,0.0014454803450092092,18464
Adult Income,2.0,age,0,2,20,0.004815619457474668,11493
Adult Income,2.0,age,0,2,50,0.019215670905468628,13236
Adult Income,2.0,age,0,2,100,0.10130893305387377,72901
Adult Income,2.0,capital-gain,9,2,10,0.005181221234742284,97032
Adult Income,2.0,capital-gain,9,2,20,0.0032562870080348077,92742
Adult Income,2.0,capital-gain,9,2,50,0.031129120381157536,66824
Adult Income,2.0,capital-gain,9,2,100,0.11139042483169985,96792
Adult Income,2.0,age,0,3,10,0.0017726781543224678,87126
Adult Income,2.0,age,0,3,20,0.0024210293184839067,1470
Adult Income,2.0,age,0,3,50,0.027335795518879116,11923
Adult Income,2.0,age,0,3,100,0.09412737003415764,86364
Adult Income,2.0,capital-gain,9,3,10,0.003075267512357907,8235
Adult Income,2.0,capital-gain,9,3,20,0.008089094903125715,98119
