dataset,epsilon,repetition,non_private_ranking,private_ranking,similarity,seed
1,2.0,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4  3 11  6  1  9  2  8  7 10 12],0.9358974358974359,15027
1,2.0,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,86004
1,2.0,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5 11  3  1  6  9  2  8  7 10 12],0.9487179487179487,45033
1,2.0,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  2  6  8  7 12 10],0.9615384615384616,89499
1,2.0,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,79632
1,2.0,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5 11  3  9  1  6  2  8 10 12  7],0.9743589743589743,70534
1,2.0,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5 11  4  3  9  6  1  2  7  8 10 12],0.9487179487179487,23064
1,2.0,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8  7 10 12],0.9871794871794872,76700
1,2.0,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4  3 11  9  1  6  2  8 10 12  7],0.9743589743589743,5202
1,5.0,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4  3 11  9  6  1  2 10  8  7 12],0.9615384615384616,57009
1,5.0,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  6  1  2  8 10  7 12],0.9871794871794872,40455
1,5.0,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  8  7 12],0.9871794871794872,99664
1,5.0,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  6  1  2  8 10  7 12],0.9871794871794872,19851
1,5.0,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  8  7 12],0.9871794871794872,94652
1,5.0,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10 12  7],0.9871794871794872,9075
1,5.0,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,62317
1,5.0,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5  3 11  9  1  6  2  8 10  7 12],0.9743589743589743,58033
1,5.0,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,89894
1,5.0,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  8  7 12],0.9871794871794872,29869
1,10.0,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4  3 11  9  1  6  2  8 10  7 12],0.9871794871794872,90207
1,10.0,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,67199
1,10.0,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,89039
1,10.0,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,19951
1,10.0,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5  3 11  9  1  6  2  8 10  7 12],0.9743589743589743,75824
1,10.0,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,94211
1,10.0,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,4859
1,10.0,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,36511
1,10.0,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2  8 10  7 12],1.0,63651
1,10.0,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5 11  3  9  1  6  2 10  8  7 12],0.9743589743589743,10549
2,0.1,0,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 9  2  1 10 13  6  4  7 11  5 14  0  3  8 12],0.6,85062
2,0.1,1,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 9  2  3 14 10 13 11  0  1 12  6  8  5  7  4],0.6,63696
2,0.1,2,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 6  8  4 12 10  0 13  5  2  1 11  9  7  3 14],0.4,51113
2,0.1,3,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[11  0  1  6 13 10 14  2  7  4  5 12  9  8  3],0.6285714285714286,26978
2,0.1,4,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[10  0  8 13 11  9  1  3  2 14  6 12  7  5  4],0.6095238095238096,30782
2,0.1,5,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1  0 13  2 11 14  7 12  3  4 10  9  8  5  6],0.6952380952380952,4097
2,0.1,6,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 9 10  0  2 14  6 13  4  3  1  5 11 12  7  8],0.5714285714285714,7524
2,0.1,7,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 9 12  5 10 11 14  4  6  7  2  3 13  0  8  1],0.5904761904761905,1652
2,0.1,8,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 2 13 10  4 11  9  0  6  8  7  5  3  1 12 14],0.49523809523809526,17526
2,0.1,9,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[14  9 13  8  5  4  1 12  0 10  6  7 11  3  2],0.5428571428571428,81327
2,0.2,0,[ 1 10 11 12  9 14 13  7  0  4  2  3  8  5  6],[ 1  7 10  9  4 14  2 12  8 11  0  3  6 13  5],0.7333333333333333,64941
