dataset,epsilon,repetition,non_private_ranking,private_ranking,similarity,seed
1,0.1,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  1  9  6  2  7 10 12  8],0.9358974358974359,48583
1,0.1,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0 11  1  6  3  5  9  8  7 12  4 10  2],0.717948717948718,71882
1,0.1,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0 11  5  3  9 10  6  1  2  4  8 12  7],0.8205128205128205,88948
1,0.1,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[11  0  5  4  3  9  6  8  1 10  2 12  7],0.8974358974358975,7294
1,0.1,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  6  5 11  4  9  1  3  2 10  8  7 12],0.8717948717948718,93404
1,0.1,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5 11  3  9  6  1  2  7 10  8 12],0.9358974358974359,53134
1,0.1,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5  3 11  1  6  9  2  8 12 10  7],0.9230769230769231,35779
1,0.2,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4 11  5  3  9  1  6  2 10  8 12  7],0.9487179487179487,67273
1,0.2,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5 11  3  4  9  1  2 10  6  7 12  8],0.9102564102564102,57152
1,0.2,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  1  9  6  2  7  8 10 12],0.9615384615384616,25460
1,0.2,3,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4  3  9 11  1  6  2  8 10  7 12],0.9743589743589743,32186
1,0.2,4,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  3 11  4  9  1  6  2  7  8 10 12],0.9358974358974359,71951
1,0.2,5,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5 11  4  3  9  1  2  6 10  7  8 12],0.9487179487179487,59430
1,0.2,6,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5 11  3  9  6  1 10  2  7  8 12],0.9358974358974359,50441
1,0.2,7,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5  3 11  9  6  1  2  8 12 10  7],0.9358974358974359,33791
1,0.2,8,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5 11  9  3  1  6  2  8 10  7 12],0.9743589743589743,76065
1,0.2,9,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5 11  3  2  1  9  6 10  7  8 12],0.9102564102564102,39161
1,0.5,0,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  4  5 11  3  9  1  6  2  8 10  7 12],0.9871794871794872,32817
1,0.5,1,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  9  3  1  6  2 10  8  7 12],0.9743589743589743,89027
1,0.5,2,[ 0  5  4 11  3  9  1  6  2  8 10  7 12],[ 0  5  4 11  3  9  1  6  2 10  8  7 12],0.9871794871794872,26392
