dataset,epsilon,feature,feature_index,repetition,resolution,mse,seed
Adult Income,1.0,marital-status,4,3,20,4.6469243441845306e-08,71114
Adult Income,1.0,occupation,5,3,20,5.381584012324925e-07,92446
Adult Income,1.0,relationship,6,3,20,1.6846543509670777e-08,93205
Adult Income,1.0,race,7,3,20,8.874120284623454e-09,18464
Adult Income,1.0,sex,8,3,20,2.436909055813224e-09,11493
Adult Income,1.0,capital-gain,9,3,20,0.0022473839196944898,13236
Adult Income,1.0,capital-loss,10,3,20,0.0006944694577048605,72901
Adult Income,1.0,hours-per-week,11,3,20,1.4637164397268035e-05,97032
Adult Income,1.0,native-country,12,3,20,4.080736152622582e-06,92742
Adult Income,1.0,age,0,4,20,3.724208413549512e-05,66824
Adult Income,1.0,workclass,1,4,20,9.782535511904431e-08,96792
Adult Income,1.0,education,2,4,20,1.0724439656894978e-06,87126
Adult Income,1.0,education-num,3,4,20,0.0002026849119982628,1470
Adult Income,1.0,marital-status,4,4,20,9.985356491242705e-08,11923
Adult Income,1.0,occupation,5,4,20,3.1182732853415364e-07,86364
Adult Income,1.0,relationship,6,4,20,4.019836947354004e-08,8235
Adult Income,1.0,race,7,4,20,1.2913240203261012e-08,98119
Adult Income,1.0,sex,8,4,20,3.564982653661551e-09,82737
Adult Income,1.0,capital-gain,9,4,20,0.002236111929318097,95721
Adult Income,1.0,capital-loss,10,4,20,0.0006964533311820675,36032
Adult Income,1.0,hours-per-week,11,4,20,1.4493703964201568e-05,14876
Adult Income,1.0,native-country,12,4,20,3.120410925907751e-06,51686
Adult Income,1.0,age,0,5,20,3.495241966363969e-05,97262
Adult Income,1.0,workclass,1,5,20,1.1137359414554776e-07,36722
Adult Income,1.0,education,2,5,20,1.4443850379465019e-06,88993
Adult Income,1.0,education-num,3,5,20,0.00020547979625177532,38383
Adult Income,1.0,marital-status,4,5,20,6.34248691847273e-07,82237
Adult Income,1.0,occupation,5,5,20,1.0330464013275849e-06,22957
Adult Income,1.0,relationship,6,5,20,1.4004479653786756e-08,47998
Adult Income,1.0,race,7,5,20,5.286444701487035e-08,32684
Adult Income,1.0,sex,8,5,20,4.3884643427047775e-09,23237
Adult Income,1.0,capital-gain,9,5,20,0.0022539798770228113,89268
Adult Income,1.0,capital-loss,10,5,20,0.0007000593294824473,80188
Adult Income,1.0,hours-per-week,11,5,20,1.3800729655816934e-05,13965
Adult Income,1.0,native-country,12,5,20,4.686215118313983e-06,92353
Adult Income,1.0,age,0,6,20,4.0726548262060185e-05,97097
Adult Income,1.0,workclass,1,6,20,9.396737776786071e-08,26613
Adult Income,1.0,education,2,6,20,6.594607479570289e-07,42642
Adult Income,1.0,education-num,3,6,20,0.0002193988393273486,53893
Adult Income,1.0,marital-status,4,6,20,5.317927781426304e-07,65709
Adult Income,1.0,occupation,5,6,20,6.417929663915336e-07,44275
Adult Income,1.0,relationship,6,6,20,1.606838930060865e-07,14875
Adult Income,1.0,race,7,6,20,4.759359170343148e-07,93101
Adult Income,1.0,sex,8,6,20,1.0067629260409134e-09,69202
Adult Income,1.0,capital-gain,9,6,20,0.0022525312208473815,4051
Adult Income,1.0,capital-loss,10,6,20,0.00069497257907958,81430
Adult Income,1.0,hours-per-week,11,6,20,1.207265546282596e-05,73200
Adult Income,1.0,native-country,12,6,20,1.6650100526699016e-06,18327
Adult Income,1.0,age,0,7,20,3.7463445125791956e-05,61437
Adult Income,1.0,workclass,1,7,20,5.266036534465998e-08,50167
Adult Income,1.0,education,2,7,20,2.9423855188834354e-07,2836
Adult Income,1.0,education-num,3,7,20,0.00020929507256324433,92739
Adult Income,1.0,marital-status,4,7,20,3.0835545445035805e-08,71921
Adult Income,1.0,occupation,5,7,20,4.4438133417972677e-07,31021
Adult Income,1.0,relationship,6,7,20,4.22884925378493e-08,1599
Adult Income,1.0,race,7,7,20,7.489434911718573e-08,9127
Adult Income,1.0,sex,8,7,20,1.354239365968413e-09,75795
Adult Income,1.0,capital-gain,9,7,20,0.0022652574328157213,14933
Adult Income,1.0,capital-loss,10,7,20,0.0006982808784901155,51275
Adult Income,1.0,hours-per-week,11,7,20,1.4386629662611879e-05,89870
Adult Income,1.0,native-country,12,7,20,3.2832612494861058e-06,92910
Adult Income,1.0,age,0,8,20,3.720612524267462e-05,26792
Adult Income,1.0,workclass,1,8,20,8.357708957274512e-08,6608
Adult Income,1.0,education,2,8,20,6.633318853320998e-07,49487
Adult Income,1.0,education-num,3,8,20,0.0002065458043346015,84131
Adult Income,1.0,marital-status,4,8,20,2.0126063616487702e-07,62465
Adult Income,1.0,occupation,5,8,20,2.5690794360143134e-07,6669
Adult Income,1.0,relationship,6,8,20,9.242730211216472e-08,65017
Adult Income,1.0,race,7,8,20,1.135991869809177e-07,34430
Adult Income,1.0,sex,8,8,20,6.994394560937598e-09,22621
Adult Income,1.0,capital-gain,9,8,20,0.0022437929910796898,43029
Adult Income,1.0,capital-loss,10,8,20,0.0006977879476641817,87329
Adult Income,1.0,hours-per-week,11,8,20,1.4102917127516074e-05,96606
Adult Income,1.0,native-country,12,8,20,4.242682326838897e-06,14105
Adult Income,1.0,age,0,9,20,3.544160325508742e-05,56223
Adult Income,1.0,workclass,1,9,20,7.49101095294035e-08,76149
Adult Income,1.0,education,2,9,20,6.765825438802625e-07,25886
Adult Income,1.0,education-num,3,9,20,0.00019664022460037252,27265
Adult Income,1.0,marital-status,4,9,20,3.5057734784507414e-08,24167
Adult Income,1.0,occupation,5,9,20,7.175843598922714e-07,20961
Adult Income,1.0,relationship,6,9,20,6.015303903930035e-08,88811
Adult Income,1.0,race,7,9,20,6.271264809956548e-09,21862
Adult Income,1.0,sex,8,9,20,1.1949353693406116e-09,22586
Adult Income,1.0,capital-gain,9,9,20,0.002263692302748801,12544
Adult Income,1.0,capital-loss,10,9,20,0.0006952141149961269,12455
Adult Income,1.0,hours-per-week,11,9,20,1.2455619851314557e-05,77846
Adult Income,1.0,native-country,12,9,20,4.3827972993397714e-06,28833
Adult Income,2.0,age,0,0,20,3.526066338670138e-05,80197
Adult Income,2.0,workclass,1,0,20,9.790537345929236e-09,58612
Adult Income,2.0,education,2,0,20,2.1252124932364253e-07,85840
Adult Income,2.0,education-num,3,0,20,0.000209034752443341,55409
Adult Income,2.0,marital-status,4,0,20,2.9164440403258814e-08,76416
Adult Income,2.0,occupation,5,0,20,1.5417635544291867e-07,80971
